id;create_date;rent_price;deposit;floor;area_total;rooms;region;repair_type;agent_fee
1;2021-12-06 09:54:22.001 +0300;88400.00;;2;63.2;2;1;;
2;2021-12-06 09:52:18.815 +0300;88100.00;;6;53.6;2;1;;
3;2021-12-06 09:48:26.329 +0300;36000.00;;9;39.0;1;1;;
4;2021-12-06 09:46:42.017 +0300;35000.00;;5;40.0;1;1;;
5;2021-12-06 09:45:50.589 +0300;30000.00;;8;28.0;0;2;;
6;2021-12-06 09:45:43.455 +0300;35000.00;;8;33.0;1;1;;
7;2021-12-06 09:45:15.815 +0300;150000.00;150000.00;8;62.0;2;1;design;40
8;2021-12-06 09:43:09.022 +0300;30000.00;;19;37.6;1;2;;
9;2021-12-06 09:42:59.104 +0300;35000.00;35000.00;1;38.0;1;1;cosmetic;50
10;2021-12-06 09:41:09.609 +0300;35000.00;;3;32.0;1;1;;
11;2021-12-06 09:41:00.650 +0300;35000.00;;14;35.0;1;1;;
12;2021-12-06 09:40:33.009 +0300;35000.00;;4;45.0;1;1;;
13;2021-12-06 09:40:27.996 +0300;35000.00;35000.00;6;38.0;1;1;euro;70
14;2021-12-06 09:38:09.139 +0300;80000.00;;6;90.0;3;1;;
15;2021-12-06 09:38:08.136 +0300;34000.00;;2;35.0;1;1;;
16;2021-12-06 09:37:28.929 +0300;70000.00;70000.00;4;32.0;0;2;euro;0
17;2021-12-06 09:35:18.658 +0300;80200.00;0.00;7;53.0;2;1;design;0
18;2021-12-06 09:35:04.214 +0300;80000.00;;14;50.0;2;1;;
19;2021-12-06 09:31:36.164 +0300;60000.00;60000.00;2;24.0;0;2;euro;0
20;2021-12-06 09:26:18.214 +0300;15100.00;;3;45.0;1;1;;
21;2021-12-06 09:20:29.271 +0300;70000.00;;11;41.0;2;1;;
22;2021-12-06 09:11:30.139 +0300;41000.00;;3;38.0;2;1;;
23;2021-12-06 08:50:26.035 +0300;40000.00;20000.00;15;40.0;1;1;cosmetic;0
24;2021-12-06 08:49:39.594 +0300;109000.00;109000.00;38;40.0;2;1;design;50
25;2021-12-06 08:42:10.169 +0300;38000.00;38000.00;13;40.0;1;1;euro;40
26;2021-12-06 08:40:52.367 +0300;38000.00;38000.00;3;40.0;1;1;euro;70
27;2021-12-06 08:39:49.661 +0300;60000.00;60000.00;3;56.0;2;1;euro;50
28;2021-12-06 08:38:08.820 +0300;58000.00;58000.00;4;57.0;3;1;cosmetic;0
29;2021-12-06 08:37:24.723 +0300;58000.00;;7;78.0;3;1;;
30;2021-12-06 08:23:59.992 +0300;40000.00;40000.00;14;38.0;1;1;cosmetic;100
31;2021-12-06 08:13:55.115 +0300;45000.00;45000.00;4;55.0;2;1;cosmetic;100
32;2021-12-06 08:13:08.929 +0300;45000.00;45000.00;7;55.0;2;1;euro;99
33;2021-12-06 08:13:07.029 +0300;45000.00;;7;52.0;2;1;;
34;2021-12-06 08:09:27.021 +0300;55000.00;55000.00;2;75.0;3;1;cosmetic;50
35;2021-12-06 08:09:23.353 +0300;55000.00;55000.00;1;60.0;2;1;euro;99
36;2021-12-06 08:09:22.339 +0300;55000.00;55000.00;6;63.0;2;1;euro;50
37;2021-12-06 08:09:21.575 +0300;55000.00;55000.00;1;56.0;2;1;euro;50
38;2021-12-06 08:09:20.435 +0300;55000.00;55000.00;5;40.0;1;1;design;50
39;2021-12-06 08:08:26.869 +0300;50000.00;50000.00;5;54.0;2;1;cosmetic;50
40;2021-12-06 08:08:24.142 +0300;50000.00;50000.00;1;52.0;2;1;euro;50
41;2021-12-06 08:00:36.119 +0300;47000.00;47000.00;5;45.0;2;1;euro;99
42;2021-12-06 07:50:56.912 +0300;40000.00;;7;43.2;1;2;;
43;2021-12-06 07:18:08.443 +0300;60000.00;60000.00;3;48.0;2;1;euro;30
44;2021-12-06 07:18:07.004 +0300;60000.00;60000.00;3;61.0;2;1;cosmetic;70
45;2021-12-06 06:54:34.890 +0300;200000.00;200000.00;8;75.0;3;1;design;0
46;2021-12-06 06:24:24.055 +0300;53400.00;0.00;6;69.8;2;1;euro;50
47;2021-12-06 06:23:04.637 +0300;51900.00;0.00;2;35.0;1;1;euro;50
